Gliese2 index,B-V color,absolute magnitude
GL268.1,0.32,2.80
GL268.2,1.26,7.70
GL268.4,0.66,5.50
GL270.0,1.36,8.80
GL271.0A,0.34,2.46
GL272.0,1.59,10.00
GL273.0,1.56,11.98
GL273.1,0.95,6.40
GL274.0A,0.32,2.84
GL275.0,0.70,5.20
GL275.1,1.59,9.30
GL275.2A,1.69,13.60
GL275.2B,0.99,14.70
GL276.0,1.10,7.30
GL277.0A,1.46,10.32
GL277.0B,1.59,11.48
GL278.0C,1.49,8.26
GL279.0,0.51,3.30
GL280.0A,0.42,2.64
GL281.0,1.38,8.70
GL282.0A,0.96,6.50
GL282.0B,1.33,8.30
GL283.0A,0.30,13.76
GL284.0,0.77,3.80
GL285.0,1.59,12.29
GL285.1,0.76,5.40
GL286.0,1.00,0.98
GL288.0A,0.58,4.36
GL290.0,0.73,5.78
GL291.0A,0.57,4.91
GL291.0B,0.65,5.36
GL292.1,0.95,6.20
GL292.2,0.73,5.70
GL293.2,1.05,6.90
GL294.0A,0.57,4.52
GL295.0,0.71,5.82
GL295.1,1.28,8.30
GL296.0,1.33,8.10
GL296.1,0.60,5.10
GL297.1,0.43,3.50
GL297.2A,0.49,3.80
GL299.0,1.77,13.66
GL301.1,1.14,7.16
GL302.0,0.76,5.49
GL303.0,0.47,4.10
GL304.0,0.71,5.60
GL305.0,0.40,2.50
GL305.1,1.18,7.70
GL306.0,0.46,4.30
GL306.1,0.68,5.40
GL307.1,0.63,4.74
GL309.0,0.79,5.90
GL310.0,1.42,8.76
GL310.1A,0.52,4.50
GL310.1B,0.71,5.70
GL311.0,0.62,4.67
GL312.0,0.60,4.80
GL313.0,1.12,7.20
GL315.0,0.82,6.14
GL319.0C,1.55,10.90
GL319.1A,0.90,6.50
GL320.0,0.93,6.46
GL321.0,0.94,7.00
GL321.1,0.87,2.50
GL321.2,0.74,5.30
GL322.0,1.34,8.30
GL324.0A,0.87,5.30
GL324.0B,1.65,12.50
GL327.0,0.67,5.65
GL329.0,1.00,7.70
GL330.0,1.53,9.50
GL330.1,1.11,7.30
GL331.0A,0.19,2.24
GL332.0A,0.37,3.50
GL332.0B,0.65,5.33
GL333.1,0.42,3.60
GL333.2A,1.45,10.70
GL333.2B,1.47,11.00
GL333.3,0.14,2.50
GL334.0,1.42,8.70
GL334.2,0.57,4.30
GL336.2A,0.81,8.00
GL336.2B,0.91,8.60
GL337.1,0.58,3.50
GL338.0A,1.38,8.72
GL338.0B,1.34,8.82
GL339.1,0.30,13.00
GL339.2,0.01,0.30
GL340.3,1.17,7.40
GL341.1,1.23,7.90
GL342.0,1.19,7.60
GL343.1,1.32,8.10
GL345.0,0.48,8.90
GL346.0,1.41,9.10
GL348.0A,0.45,3.90
GL348.0B,0.87,6.40
GL349.0,1.00,6.93
GL353.0,1.50,9.40
GL354.0A,0.46,2.00
GL354.1,0.77,5.60
GL355.0,0.91,7.30
GL355.1,0.77,2.90
GL355.2,1.02,3.20
GL356.0A,0.77,5.60
GL361.0,1.50,9.80
GL364.0,0.53,4.20
GL365.0,1.15,7.31
GL368.0,0.62,4.20
GL369.0,1.42,9.54
GL370.0,1.17,7.62
GL371.0,1.23,7.50
GL373.0,1.43,8.60
GL374.0,0.96,7.10
GL376.0,0.66,4.60
GL378.0,1.37,9.20
GL378.1,1.07,7.70
GL378.2,1.38,8.30
GL378.3,0.18,2.50
GL379.1A,0.60,4.50
GL379.2,0.60,6.00
GL380.0,1.36,8.32
GL382.0,1.47,9.60
GL383.1,1.10,7.70
GL385.1,0.60,4.80
GL387.0A,0.50,4.70
GL388.0,1.54,10.98
GL388.1,0.45,3.30
GL388.2,0.55,4.50
GL389.1,1.23,8.00
GL391.0,0.36,3.30
GL392.0A,0.60,5.00
GL392.1,0.37,3.30
GL393.0,1.52,10.20
GL394.0,1.36,8.29
GL395.0,0.52,4.44
GL397.0,1.33,8.10
GL397.2,0.50,3.50
GL398.0,1.56,11.70
GL398.1,0.52,3.90
GL398.2,-0.30,10.00
GL403.1,0.46,3.70
GL404.1,0.95,1.90
GL406.0,2.01,16.68
GL406.1,1.37,8.60
GL407.0,0.61,4.40
GL408.0,1.54,10.93
GL410.0,1.47,9.20
GL411.0,1.51,10.49
GL412.0A,1.55,10.12
GL412.1,1.03,3.30
GL412.2,0.60,4.70
GL413.0,1.12,7.50
GL414.0A,1.35,7.90
GL414.0B,1.48,9.50
GL415.0,1.08,7.60
GL416.0,1.17,7.70
GL417.0,0.60,5.00
GL418.0,1.18,7.40
GL419.0,0.12,1.40
GL420.0A,1.04,7.05
GL421.0A,1.31,8.90
GL421.0B,1.32,9.00
GL421.1A,0.43,4.40
GL421.1B,0.60,5.90
GL423.1,0.73,5.60
